combination,K,regime,avg_weight,r_squared,10y_2y_spread,10y_treasury_const_maturity_rate,PCE_price_index,PPI_inflation,cpi,export_price_index,fed_reserve_discount_rate,fedfunds,import_price_index,industrial_production,m2_real_money_supply,nat_fin_condition_indx,retail_sales,tot_business_inventories,unemployment
2vars_growth_market_volatility,5,2,0.1687098280933085,0.1660569438259829,-0.003582352286212,0.0024986340704853,-0.0636561459583703,-0.0795373389215214,0.0645657709643547,0.0513443395388842,0.034634984488983,-0.0337116888400101,-0.0053583076519558,0.0028042440698961,-0.0016888521444433,-0.0085602517649964,0.0246055482563549,0.0109375433293058,0.0182115544581259
2vars_growth_market_volatility,5,3,0.1516344206116426,0.1543915996338537,-0.0037916605414531,0.0040050156111652,0.0017656627410575,-0.0596665637625753,0.0025757895158697,0.037874316265896,0.0256849279521291,-0.0230377901777027,-0.0083750851778617,0.0089715870307332,0.0093885077797299,-0.008394075202272,-0.0034585151876705,0.0191751926980439,0.0186318581882433
2vars_growth_market_volatility,5,4,0.2475497365103286,0.1128105902294406,-0.0035052838345422,0.0001254114662747,-0.0212732735432718,-0.0761319585315195,0.053217377349433,0.0394283952237821,0.0215573236864836,-0.0184558750123625,0.0048615128554504,0.0053429315184165,0.0179749047165984,-0.0088050654525554,-0.0098887433565274,-0.0060400991986585,0.0106739952554945
2vars_growth_market_volatility,6,0,0.1765752930100909,0.1246024437397249,-0.0062456293848521,0.0035747245630692,0.0824248922418614,-0.065880879062058,-0.0976768794947026,0.0381769919973116,0.0279329119084341,-0.0315246461379584,-0.0007402043964667,0.0098872080007381,0.0044116657861848,-0.0066222543828987,0.0129367686415553,0.0206780014367149,0.0171921792565968
2vars_growth_market_volatility,6,1,0.1790327352738739,0.1071651875402016,-0.0008426193407733,0.0031263888441957,0.1082092198462874,-0.0567707536787943,-0.101323503827006,0.0315437570195141,0.0180981456783588,-0.0127473703952844,-0.0058178421911112,0.0100104096344587,0.0075450660139777,-0.0083129715856045,0.0104266084218253,0.0062235580322469,0.016006698661025
2vars_growth_market_volatility,6,2,0.1427300442119748,0.1777744368511047,-0.0046196947232252,0.0039302855049824,-0.0146538525038298,-0.0743496848524341,0.015966799570475,0.0486938763197473,0.0309105143162201,-0.0322103836467277,-0.0084966395315619,0.002636126399501,-0.0090043921453537,-0.0088428941661076,0.0309469634746883,0.0115036525428122,0.0188355180592516
2vars_growth_market_volatility,6,3,0.1320823484684224,0.15489584743466,-0.0039684312997661,0.0040504155197236,0.0006159194225801,-0.0596302019736185,0.0023387014522302,0.0384486408150624,0.0264116990995215,-0.0240892281372699,-0.0087909122965024,0.0087069589992658,0.0084722098479451,-0.0083009606931763,-0.0023211332833608,0.0201054741808622,0.0188592420362931
2vars_growth_market_volatility,6,4,0.2092630129368567,0.1140627271880273,-0.0036402391302644,4.609781880063877e-05,-0.0199865616280751,-0.0757677756801859,0.0519662448880096,0.0402642970949762,0.0221954353847002,-0.0191458855764051,0.0036601609986215,0.004820926821034,0.0166315433757339,-0.0086425064565867,-0.0085084888446111,-0.0060630007299292,0.010846741544729
2vars_growth_market_volatility,6,5,0.1603165660987809,0.09861608284758,-0.002606626706393,0.0027278709099474,0.0127968829983031,-0.0470888713060567,0.0079568390106583,0.0439457024777892,0.0244676172038746,-0.0196096545602412,-0.0220352415710237,0.0061776623136478,0.0059715195351986,-0.0077923720446301,-0.0069984035417194,0.0051465751541009,0.0154703491020641
2vars_growth_monetary_policy,2,0,0.4169191797223434,0.1390624144346048,-0.0013759809449989,0.0094785816872713,-0.1322691288271419,-0.0749138330462628,0.1401200398465712,0.0495956980320783,0.036627633091841,-0.0347041736959596,-0.0098356102298977,0.0031220528106702,0.005216743810894,-0.0078348317875796,0.0059797438024248,0.0236793861976838,0.0183631374464858
2vars_growth_monetary_policy,2,1,0.5830808202776567,0.1210699214460376,-0.0052850749812513,-0.0026368611858213,0.1467429802193917,-0.0598098477648208,-0.1528476844447108,0.0321661851547606,0.0163551001336454,-0.0166854565941253,0.0002425424995967,0.0121926264868105,0.007603769234025,-0.0088568803832495,0.0086653727307477,0.0078354401855224,0.0144912065979892
2vars_growth_monetary_policy,3,0,0.4588983295246755,0.1211549955328076,-0.005320023886147,-0.0027031198611178,0.1475701811273065,-0.0595354603689037,-0.1538849330890588,0.0320767607788273,0.0162694062190097,-0.016614147899907,0.0001459164605846,0.0121783588520519,0.0074545614438328,-0.008853877877656,0.008850445838461,0.0078496789181509,0.0145209837820102
2vars_growth_monetary_policy,3,1,0.328042771212172,0.121103319175051,-0.0008852771220094,0.0081111703462223,-0.0952233022475136,-0.0807999071113323,0.1073443951796992,0.0496090955259304,0.0344174627292131,-0.032896622128794,-0.0061608544110036,0.0014812706037279,0.0009060254242205,-0.0074778680877523,0.0167010286106798,0.0152800716417131,0.0162938173534604
2vars_growth_monetary_policy,3,2,0.2130588992631524,0.1562437297905791,-0.0039247414000631,0.0040812869895222,0.0006356778069289,-0.0590952728539708,0.0033679380681537,0.0384525206115469,0.0259927041714329,-0.0234783790172766,-0.0091262854370738,0.0088433729087412,0.0088462250658355,-0.0083975501844146,-0.0031523479748691,0.0193586355631414,0.0187663397642201
2vars_growth_monetary_policy,4,0,0.2600297983752546,0.1078093954229493,-0.0002841040698357,0.0057057629096181,-0.1066400203919569,-0.0788073909870443,0.1432726986473289,0.0485551275944388,0.0325857837276725,-0.0282277286811035,-0.0034822098748894,0.0026238998570144,0.0188953653780044,-0.0070995514098319,-0.0142278812702898,0.0005549669558567,0.0107558158631552
2vars_growth_monetary_policy,4,1,0.2614591345339293,0.152195433218288,-0.0012570687883607,0.0005599994512681,0.1256004924185277,-0.0351356531282342,-0.1645110965900729,0.0175681507358062,0.0157627212151738,-0.0123328162117032,-0.0065482772470831,0.0054896503366517,-0.0216573274502646,-0.0108230012235189,0.0468316458573851,0.0366170084133382,0.0227745167791848
2vars_growth_monetary_policy,4,2,0.3025529773515316,0.1141858774790639,-0.0063722599093549,-0.0007116904152784,0.1119850059156935,-0.0740677565293844,-0.1099395576857209,0.045429300193302,0.0236316802967777,-0.0250057177859103,-0.0047923944952833,0.0114681290942672,0.0096213254437057,-0.006527110115596,0.008824550029199,0.0036072260246205,0.0155537983511944
2vars_growth_monetary_policy,4,3,0.1759580897392843,0.1562351583183738,-0.0038846085890619,0.003990564075818,0.0055070730096064,-0.0587503689977238,-0.0016992320949662,0.0382333837217095,0.0257137978828119,-0.0230941250355406,-0.0092028576631319,0.008905488905695,0.0086337239269042,-0.0083662908534505,-0.0027769578413844,0.0192673148333,0.0188194698105338
2vars_growth_monetary_policy,5,0,0.2318854914044539,0.1061341685549025,-0.0057076692954286,-0.0026708244208384,0.0799462194765856,-0.0657417013625591,-0.0849576445949824,0.0418556103272595,0.0198342771192043,-0.0207776874536259,-0.0084562447107716,0.0071062014835865,-0.0029626858702544,-0.0071645104811313,0.0209530236986816,0.0109167990150774,0.0166285061019392
2vars_growth_monetary_policy,5,1,0.1554886956065477,0.2024842803666429,-0.005574936924071,0.0038026896770262,0.0294141594904648,-0.0543419301553671,-0.0630270964934608,0.0351280483046571,0.0200853654950628,-0.020959901282083,-0.0113789421180778,0.0061394659122403,-0.0236490342863324,-0.011080979421904,0.0496482471791145,0.0356892492761264,0.0257121144646079
2vars_growth_monetary_policy,5,2,0.1499601442390676,0.156378214526567,-0.0040421287272497,0.0041165052519578,-0.0005844759262452,-0.0587473338862937,0.0044915452556723,0.0385101843139646,0.0260938154206371,-0.0236880089179657,-0.0092305338513038,0.0089253345066782,0.0091209007450729,-0.0083802713404967,-0.0034991822009747,0.0191318862480998,0.018744350130914
2vars_growth_monetary_policy,5,3,0.2215417111066183,0.1081343916079577,-0.0003763323989861,0.0058224039383958,-0.1122148398088139,-0.0786566819245927,0.1489159006176744,0.0487070582602873,0.0328399021536087,-0.0285693543921861,-0.0035641904873565,0.0026547855909602,0.0192294473181528,-0.0071594953186517,-0.0147767246833112,0.0005201164270541,0.0107511074277738
2vars_growth_monetary_policy,5,4,0.2411239576433123,0.1014339931587657,-0.0016153009362355,0.0029093076911607,0.1295977097185509,-0.0565269996985691,-0.1289880228478874,0.0297482657715194,0.0228878535812342,-0.0204164473551583,-0.0011803525545162,0.0094685967376142,0.0073727406104771,-0.0067169794265995,0.00947676036415,0.0097792709415689,0.0150294000541023
