date,regime,growth_factor,inflation_factor,erp,regime_name
1994-03-01,1,1.0201575463503865,0.2752600523146187,-0.0490289803222462,Overheating
1994-04-01,0,0.5913554477638527,0.1182947358842501,0.0086763615113489,Goldilocks
1994-05-01,0,0.4601048425961096,0.1454214951147614,0.0088347741896821,Goldilocks
1994-06-01,1,0.6751136558680537,0.2435298210585301,-0.0305068982907092,Overheating
1994-07-01,2,0.1330389863973824,0.3153669724770491,0.0279470066956182,Stagflation
1994-08-01,1,0.6704230927067067,0.2301409425249367,0.0333811322161841,Overheating
1994-09-01,0,0.3145485953005789,0.1110544166641691,-0.0308445350853255,Goldilocks
1994-10-01,0,0.8045120691220431,0.1693949751154333,0.0167767796876665,Goldilocks
1994-11-01,1,0.6835881660052667,0.1900600110743555,-0.0438381026049962,Overheating
1994-12-01,0,1.0218279603479097,0.0642289538149043,0.0074841734684498,Goldilocks
1995-01-01,2,0.1701982929575018,0.2030123449418441,0.0195834930595473,Stagflation
1995-02-01,2,-0.1128050577073547,0.1772759098425336,0.0315864599670581,Stagflation
1995-03-01,2,0.1661680221370254,0.1843975849864731,0.0219208588186767,Stagflation
1995-04-01,2,-0.1726234131196657,0.2627282173073952,0.0235495199071824,Stagflation
1995-05-01,0,0.4910926249013236,0.1539668675144767,0.0311940925532538,Goldilocks
1995-06-01,0,0.3314331723927699,0.0975595334880452,0.0163439898902195,Goldilocks
1995-07-01,3,-0.4181127385757377,0.1255223946719619,0.0273277834470575,Slowdown
1995-08-01,1,1.3256420444688333,0.2153328810359456,-0.0054123724958117,Overheating
1995-09-01,0,0.4033288089442033,0.0691705421793198,0.035775985216244,Goldilocks
1995-10-01,2,-0.1757561088312487,0.2588425619530765,-0.009526100739381,Stagflation
1995-11-01,0,0.2635472662998461,-0.0029337988294297,0.0364405152820546,Goldilocks
1995-12-01,1,0.347083386577518,0.1921694611920488,0.0132338946234429,Overheating
1996-01-01,2,-0.5723636015089628,0.2225475841874047,0.0283164957585351,Stagflation
1996-02-01,0,1.4635221208469718,0.1577747910944893,0.0029862821491688,Goldilocks
