date,regime,regime_name,growth_factor,inflation_factor,monetary_policy_factor,market_volatility_factor,erp,prob_R0,prob_R1,prob_R2,prob_R3
1991-12-01,2,High Growth / High Inflation,-0.4862523777080851,0.2500120198086319,4.43,20.18,0.1080951685482503,0.1748777683811623,0.17487771928113546,0.4753667930565668,0.17487771928113544
1992-01-01,2,High Growth / High Inflation,-0.5237500242776694,0.1358847697152887,4.03,18.95,-0.0231839668667169,0.17487818503426614,0.17487781555212525,0.4753661838614848,0.17487781555212373
1992-02-01,2,High Growth / High Inflation,0.7059692556002473,0.2538395223346867,4.06,18.2,0.0066071306513311,0.1748778211704282,0.17487773147856478,0.4753667158724639,0.17487773147854319
1992-03-01,2,High Growth / High Inflation,0.8525660185312312,0.2420497794480614,3.98,16.88,-0.0254511717010593,0.17487786410807013,0.17487774140012705,0.4753666530920774,0.1748777413997255
1992-04-01,2,High Growth / High Inflation,0.7590126747747616,0.2700598897520168,3.73,16.48,0.0246886054123089,0.17487819263418683,0.17487781735833044,0.4753661726899239,0.17487781731755886
1992-05-01,2,High Growth / High Inflation,0.3291094964783747,0.1330819563047702,3.82,16.61,-0.0019917574958177,0.17487802440332514,0.1748777817254649,0.4753664148168966,0.17487777905431331
1992-06-01,2,High Growth / High Inflation,0.0511853448275756,0.1772067781592667,3.76,14.43,-0.0206334051403597,0.17487856533624888,0.17487794448003885,0.4753655790542682,0.17487791112944398
1992-07-01,2,High Growth / High Inflation,0.9207064715544,0.3300955539761618,3.25,13.34,0.0365067334245561,0.17490224235844287,0.17488389224335427,0.4753303945751974,0.17488347082300554
1992-08-01,2,High Growth / High Inflation,-0.5591861589262614,0.1338076947295485,3.3,13.83,-0.026666808324258,0.17493763307709484,0.1749099963925499,0.47525736161323956,0.17489500891711574
1992-09-01,2,High Growth / High Inflation,0.3298543432663114,0.1634988759452227,3.22,13.4,0.0066288947493802,0.17491392679330559,0.1749490128535525,0.47523917957154066,0.17489788078160132
1992-10-01,2,High Growth / High Inflation,0.675158053367686,0.3531461397203062,3.1,16.31,-0.0003406230145659,0.1750063223686095,0.17498599588393388,0.4750855395610221,0.17492214218643456
1992-11-01,2,High Growth / High Inflation,0.3792217126696195,0.1970659075979597,3.09,16.67,0.0278419423883458,0.1749786187691495,0.17507104220169897,0.47501745270826373,0.17493288632088774
1992-12-01,2,High Growth / High Inflation,0.1688920989630027,0.1748251748251883,2.92,12.8,0.0072304444227884,0.174958792445462,0.17511558805867056,0.4749881078702899,0.1749375116255777
1993-01-01,2,High Growth / High Inflation,0.3839896069506743,0.2430815258040342,3.02,13.36,0.0047279534581874,0.17494794162025007,0.17513058214699956,0.4749831919931333,0.17493828423961702
