,full_regression_acc_60_return,full_regression_acc_60_weight,full_regression_acc_60_forecast,regime_2x2_acc_60_return,regime_2x2_acc_60_weight,regime_2x2_acc_60_forecast,extreme_isolation_acc_60_return,extreme_isolation_acc_60_weight,extreme_isolation_acc_60_forecast,extreme_pca_acc_60_return,extreme_pca_acc_60_weight,extreme_pca_acc_60_forecast
2000-11-30,-0.07154420421155731,0.9,0.005642243801898264,-0.01058176930479594,0.18484410155260766,-0.01101781407649227,-0.0676728912864046,0.8545852740725826,0.012188368669031939,-0.07154420421155731,0.9,0.012077474811618194
2000-12-31,0.00413888078760916,0.9,0.005642243801898264,0.004444620342387451,0.542387823876145,0.0014818734628646783,0.00452324325568131,0.4504255289202208,-0.0017040525207172768,0.004492609486644484,0.48625670822601513,-0.0003899918857462239
2001-01-31,0.03158876634754241,0.9,0.005642243801898264,0.021100407633955858,0.5558740856428265,0.001953351628002068,0.022985036902944768,0.6177092867572748,0.004046090708416697,0.020079682266643147,0.5223838075234263,0.0006351828550104632
2001-02-28,-0.08265745074462602,0.9,0.005642243801898264,-0.053524514095504766,0.5975788939139307,0.00341134694362357,-0.0395273700660863,0.45227834181354926,-0.0016403646908216664,-0.045490521089794574,0.5141801936614483,0.0004023898027649443
2001-03-31,-0.05742591429155182,0.9,0.005642243801898264,-0.034902171624955056,0.5677328570813489,0.0023679329178619103,-0.04143774521620735,0.6641447366097213,0.005642243801898264,-0.0033808831822681974,0.10273516078380218,-0.01127314084096414
2001-04-30,0.06946208575003095,0.9,0.005642243801898264,0.06946208575003095,0.9,0.01958443579935181,0.06724631697440844,0.869862788755382,0.012713511687978608,0.0633720186008078,0.8171675121568209,0.009000227761853899
2001-05-31,0.004883679069357977,0.9,0.005642243801898264,0.0041560472095943345,0.5476698508185802,0.001666532519177687,0.0036568516167645466,0.3059519335333776,-0.006670128588374127,0.003801343606239252,0.37591710001698897,-0.0035210868654361295
2001-06-30,-0.022227724846448187,0.9,0.005642243801898264,-0.009106946147979987,0.43268756699215943,-0.002353234940454484,-0.008869086413387071,0.42421590430797806,-0.002604971399219706,-0.011297658942790875,0.5107124578687963,0.0003039862439024304
2001-07-31,-0.009371116728466767,0.9,0.005642243801898264,-0.002973548910962979,0.43268756699215943,-0.0023532349404544843,-0.004326508890516094,0.5315149710686509,0.001083282679979443,-0.003852106199180294,0.4968620713671357,-8.904465720391014e-05
2001-08-31,-0.05741671378818784,0.9,0.005642243801898264,-0.026145699012221277,0.4326875669921594,-0.002353234940454485,-0.003883338569057909,0.1,-0.014663960280897663,-0.006532226521651349,0.13958484503173074,-0.010227461386191444
2001-09-30,-0.07335105065368118,0.9,0.005642243801898264,-0.07335105065368118,0.9,0.02283132335201179,-0.053604448544060955,0.6641447366097213,0.005642243801898264,-0.05650861305155336,0.698832349245093,0.005642243801898264
2001-10-31,0.01645995662574201,0.9,0.005642243801898264,0.01645995662574201,0.9,0.02081486787727481,0.01518629287191932,0.8222934753878701,0.011078383635432176,0.01405106912736324,0.7530332082397625,0.007180295642463053
2001-11-30,0.0678067152616581,0.9,0.005642243801898264,0.03336922529028733,0.43268756699215943,-0.0023532349404544834,0.05513089935268231,0.7279907630402953,0.007836860908386742,0.048722636968727265,0.6410314437493645,0.004002033835986844
2001-12-31,0.0069614465312210876,0.9,0.005642243801898264,0.004099704878001587,0.4326875669921594,-0.002353234940454485,0.002182046594692932,0.11954065624903543,-0.013077753319968646,0.002440973656021883,0.16182254247907862,-0.009596424680810445
2002-01-31,-0.013869778180382228,0.9,0.005642243801898264,-0.005906543341310028,0.4326875669921594,-0.002353234940454485,-0.004377420330010493,0.3429529039790166,-0.005398272417575875,-0.002787972869546695,0.2496781764470566,-0.007103354976108458
2002-02-28,-0.018540445791305406,0.9,0.005642243801898264,-0.012008660995721298,0.6065408688994146,0.0037246565616084557,-0.007481569754652242,0.40314833476152395,-0.0033291393874822156,-0.008000415458539321,0.4264589633573881,-0.0020868659438835774
