combination,K,regime,significant_variables
2vars_inflation_monetary_policy,6,1,vix=-0.0358 (p=0.002)
2vars_inflation_monetary_policy,6,2,vix=-0.0363 (p=0.003)
2vars_inflation_monetary_policy,6,3,vix=-0.0374 (p=0.001)
2vars_inflation_monetary_policy,6,4,vix=-0.0378 (p=0.000)
2vars_inflation_monetary_policy,6,5,vix=-0.0377 (p=0.000)
2vars_market_volatility_monetary_policy,2,0,10y_treasury_const_maturity_rate=-0.0272 (p=0.048); PCE_price_index=-0.5750 (p=0.010); PPI_inflation=-0.1119 (p=0.048); cpi=0.6487 (p=0.004); export_price_index=0.0812 (p=0.003); nat_fin_condition_indx=0.0130 (p=0.003); vix=-0.0382 (p=0.000)
2vars_market_volatility_monetary_policy,2,1,10y_treasury_const_maturity_rate=-0.0243 (p=0.025); export_price_index=0.0761 (p=0.002); nat_fin_condition_indx=0.0156 (p=0.003); vix=-0.0351 (p=0.000)
2vars_market_volatility_monetary_policy,3,0,export_price_index=0.0721 (p=0.034); nat_fin_condition_indx=0.0142 (p=0.018); vix=-0.0386 (p=0.000)
2vars_market_volatility_monetary_policy,3,1,cpi=0.5745 (p=0.039); export_price_index=0.0768 (p=0.024); nat_fin_condition_indx=0.0138 (p=0.014); vix=-0.0380 (p=0.000)
2vars_market_volatility_monetary_policy,3,2,export_price_index=0.0838 (p=0.005); nat_fin_condition_indx=0.0135 (p=0.031); vix=-0.0332 (p=0.000)
2vars_market_volatility_monetary_policy,4,0,export_price_index=0.0925 (p=0.030); vix=-0.0360 (p=0.000)
2vars_market_volatility_monetary_policy,4,1,export_price_index=0.0768 (p=0.044); nat_fin_condition_indx=0.0138 (p=0.029); vix=-0.0380 (p=0.000)
2vars_market_volatility_monetary_policy,4,2,export_price_index=0.0682 (p=0.050); vix=-0.0348 (p=0.000)
2vars_market_volatility_monetary_policy,4,3,nat_fin_condition_indx=0.0142 (p=0.036); vix=-0.0386 (p=0.000)
