combination,K,regime,variable,coefficient,t_statistic,p_value,n_observations
2vars_growth_inflation,6,3,vix,-0.03640878275989503,-3.21607730972287,0.0030594892966469,356.0
2vars_growth_inflation,6,4,vix,-0.036999415321022466,-3.4705480651155662,0.00131399786580233,356.0
2vars_growth_inflation,6,5,vix,-0.036307100387092055,-3.288968194219878,0.002430188520351706,356.0
2vars_growth_market_volatility,2,0,PPI_inflation,-0.09279114571582499,-2.1286989475315696,0.034366632662414576,356.0
2vars_growth_market_volatility,2,0,cpi,0.41669399270431606,2.252793555995433,0.02523709541692698,356.0
2vars_growth_market_volatility,2,0,export_price_index,0.07921680542105872,3.8854087363126837,0.00013439871393017278,356.0
2vars_growth_market_volatility,2,0,nat_fin_condition_indx,0.014430612569875467,3.242202560832137,0.0013661820748782638,356.0
2vars_growth_market_volatility,2,0,vix,-0.035277601786428164,-8.16087897056622,2.353672812205332e-14,356.0
2vars_growth_market_volatility,2,1,10y_treasury_const_maturity_rate,-0.03667858267528362,-2.1779605301435137,0.03178160148650799,356.0
2vars_growth_market_volatility,2,1,cpi,0.6889415118591979,2.2955272152698054,0.023810557131050736,356.0
2vars_growth_market_volatility,2,1,export_price_index,0.08699698767069972,2.5381272919386526,0.01270246781991724,356.0
2vars_growth_market_volatility,2,1,nat_fin_condition_indx,0.014038347562388774,2.6398228279414893,0.009636816884403654,356.0
2vars_growth_market_volatility,2,1,vix,-0.039574500280079646,-6.506396014211201,3.169544848802275e-09,356.0
2vars_growth_market_volatility,3,0,cpi,0.4803157926543646,2.0941468582676532,0.03807966032861487,356.0
2vars_growth_market_volatility,3,0,export_price_index,0.06548560934750175,2.7145071155698246,0.007486964810529795,356.0
2vars_growth_market_volatility,3,0,nat_fin_condition_indx,0.012021512207691189,2.285306476432919,0.023822624819147542,356.0
2vars_growth_market_volatility,3,0,vix,-0.03517809987467757,-6.868980450413278,2.0386448085218944e-10,356.0
2vars_growth_market_volatility,3,1,vix,-0.03638373131119407,-4.508746036764775,3.057557318619786e-05,356.0
2vars_growth_market_volatility,3,2,10y_treasury_const_maturity_rate,-0.03457827685462896,-2.170222472321823,0.032142718701066775,356.0
2vars_growth_market_volatility,3,2,export_price_index,0.09354035053926156,2.7398631877996906,0.007174400533914271,356.0
2vars_growth_market_volatility,3,2,nat_fin_condition_indx,0.015948948560433895,2.8908530439186233,0.004631030984259654,356.0
2vars_growth_market_volatility,3,2,vix,-0.03948208826847727,-6.354866960753136,4.867390712703923e-09,356.0
2vars_growth_market_volatility,4,0,nat_fin_condition_indx,0.014792116377668038,2.069482159824297,0.043236697733229246,356.0
2vars_growth_market_volatility,4,0,vix,-0.03942664456232257,-4.7461349482416635,1.5311620217950406e-05,356.0
2vars_growth_market_volatility,4,1,export_price_index,0.06496727298458732,2.3166636134653724,0.02255044017553476,356.0
2vars_growth_market_volatility,4,1,nat_fin_condition_indx,0.012156736491840627,2.023256265242159,0.04570008352411392,356.0
2vars_growth_market_volatility,4,1,vix,-0.03519945881185603,-5.978771516926077,3.448082153134635e-08,356.0
2vars_growth_market_volatility,4,2,export_price_index,0.08765580453296364,2.4129959367893625,0.01785906102740764,356.0
2vars_growth_market_volatility,4,2,nat_fin_condition_indx,0.016326519139089685,2.332598383359928,0.02190983671329949,356.0
2vars_growth_market_volatility,4,2,vix,-0.03765495659838566,-5.278646606597523,9.008291039780403e-07,356.0
2vars_growth_market_volatility,4,3,vix,-0.03647174063482853,-4.004102586761281,0.0002192994703096307,356.0
2vars_growth_market_volatility,5,0,vix,-0.037763256888363864,-4.520612185672169,3.083950171411942e-05,356.0
2vars_growth_market_volatility,5,1,vix,-0.03714978219567116,-4.439536429398089,3.657704593540423e-05,356.0
2vars_growth_market_volatility,5,2,vix,-0.03945484250377198,-4.2507443825541475,0.00010890635358462575,356.0
2vars_growth_market_volatility,5,3,vix,-0.036458512468273085,-3.5838634833633187,0.0009498297004182366,356.0
2vars_growth_market_volatility,5,4,export_price_index,0.06931122635948615,2.060347940520401,0.042973325543283813,356.0
2vars_growth_market_volatility,5,4,vix,-0.03441195870988494,-4.9442936631198275,4.81390355511202e-06,356.0
2vars_growth_market_volatility,6,0,vix,-0.03666311340059645,-3.7016825008919043,0.0005627601554936135,356.0
2vars_growth_market_volatility,6,1,vix,-0.037842889773596275,-4.146278484166977,0.00013765769612694712,356.0
2vars_growth_market_volatility,6,2,vix,-0.04007170828259298,-3.911327218702274,0.0004057336790472821,356.0
2vars_growth_market_volatility,6,3,vix,-0.03639964301630483,-3.2290705178785073,0.002932743105308777,356.0
2vars_growth_market_volatility,6,4,vix,-0.03424667991872344,-4.4444269835138615,3.9873811074953025e-05,356.0
2vars_growth_market_volatility,6,5,vix,-0.03687090890347905,-3.683840247298765,0.0006640936665534003,356.0
2vars_growth_monetary_policy,2,0,PCE_price_index,-0.5323983416686332,-2.2818671843132603,0.024092365065348176,356.0
2vars_growth_monetary_policy,2,0,cpi,0.6094960413624129,2.624524525276539,0.009696808938975066,356.0
2vars_growth_monetary_policy,2,0,export_price_index,0.08022103954256257,2.8028706489973856,0.005826310989884398,356.0
2vars_growth_monetary_policy,2,0,nat_fin_condition_indx,0.013997009195535719,3.0900013928048704,0.0024400090454461676,356.0
2vars_growth_monetary_policy,2,0,vix,-0.03801924054551232,-7.381640287388438,1.549538275469331e-11,356.0
2vars_growth_monetary_policy,2,1,10y_treasury_const_maturity_rate,-0.02602150002561497,-2.5295812678449416,0.012225425143123525,356.0
2vars_growth_monetary_policy,2,1,export_price_index,0.07876252087989692,3.3569254807421753,0.000950514653672796,356.0
2vars_growth_monetary_policy,2,1,nat_fin_condition_indx,0.01407611286911413,2.890551368274376,0.00428958350783204,356.0
2vars_growth_monetary_policy,2,1,vix,-0.03525224230267349,-7.4268637718357295,3.5647040874664526e-12,356.0
2vars_growth_monetary_policy,3,0,10y_treasury_const_maturity_rate,-0.026144336010880113,-2.2285932829719353,0.027354918910107662,356.0
2vars_growth_monetary_policy,3,0,export_price_index,0.07857674055829765,2.937600526727094,0.003839897623741706,356.0
2vars_growth_monetary_policy,3,0,nat_fin_condition_indx,0.014111587266380461,2.540904198334122,0.012091214507526038,356.0
2vars_growth_monetary_policy,3,0,vix,-0.0352806994955059,-6.516920198359799,1.0685115015007796e-09,356.0
2vars_growth_monetary_policy,3,1,cpi,0.5749864234327325,2.1175318877776252,0.036675322496964036,356.0
2vars_growth_monetary_policy,3,1,export_price_index,0.08047698685728327,2.457398611073163,0.015702166051487554,356.0
2vars_growth_monetary_policy,3,1,nat_fin_condition_indx,0.014275467369346703,2.743245451358599,0.0072016053126040536,356.0
2vars_growth_monetary_policy,3,1,vix,-0.03789118199243155,-6.4324988897453075,4.260123809274319e-09,356.0
2vars_growth_monetary_policy,3,2,vix,-0.03637649565286822,-4.48589994664507,3.352440005022217e-05,356.0
2vars_growth_monetary_policy,4,0,export_price_index,0.07707582814812701,2.0576618344324964,0.04302661377965422,356.0
2vars_growth_monetary_policy,4,0,nat_fin_condition_indx,0.01414946651219845,2.2739806456476144,0.025768629592781256,356.0
2vars_growth_monetary_policy,4,0,vix,-0.03790646669938424,-5.405949772363527,7.063695535158843e-07,356.0
2vars_growth_monetary_policy,4,1,nat_fin_condition_indx,0.014270598489745058,2.154873851362786,0.034294173309913134,356.0
2vars_growth_monetary_policy,4,1,vix,-0.03867045951497538,-5.586552600301139,3.3444165836726825e-07,356.0
2vars_growth_monetary_policy,4,2,export_price_index,0.08363707375857954,2.554820437522668,0.01227151492809142,356.0
2vars_growth_monetary_policy,4,2,vix,-0.033200947007851006,-4.780827113606613,6.624897309182032e-06,356.0
2vars_growth_monetary_policy,4,3,vix,-0.03637700206631523,-3.9578620878775936,0.0002563036269902508,356.0
2vars_growth_monetary_policy,5,0,vix,-0.0332252988388069,-4.134206336348054,0.00010191519911506575,356.0
2vars_growth_monetary_policy,5,1,vix,-0.03836024140697794,-4.027081396678269,0.0002498277075617672,356.0
2vars_growth_monetary_policy,5,2,vix,-0.03637435895360229,-3.5449107105703876,0.0010753734972315243,356.0
2vars_growth_monetary_policy,5,3,nat_fin_condition_indx,0.014135452189590962,2.0538158291344977,0.04415787376997127,356.0
2vars_growth_monetary_policy,5,3,vix,-0.037896026627705824,-4.896761607694477,7.136563754173153e-06,356.0
2vars_growth_monetary_policy,5,4,export_price_index,0.07973441976001851,2.0432939178477705,0.04479787513811262,356.0
2vars_growth_monetary_policy,5,4,nat_fin_condition_indx,0.01540869770479801,2.027808892297219,0.046396443435453794,356.0
2vars_growth_monetary_policy,5,4,vix,-0.0369266937558057,-4.810305457358566,8.390479295572462e-06,356.0
2vars_growth_monetary_policy,6,0,export_price_index,0.083547054398754,2.1265195103543024,0.037340837251278236,356.0
