date,regime,regime_name,prob_R0,prob_R1,prob_R2,prob_R3
1999-07-01,1,Overheating,0.10678148559988163,0.6474239531628088,0.1818463314948351,0.06394822974247452
1999-08-01,1,Overheating,0.25150887813812794,0.40128450705055413,0.18784118355613372,0.15936543125518415
1999-09-01,1,Overheating,0.07872301312498343,0.6641176038031089,0.22252851794867168,0.034630865123235856
1999-10-01,1,Overheating,0.23912589332339554,0.3466398151130235,0.21161362783652962,0.2026206637270514
1999-11-01,0,Goldilocks,0.6022954791255025,0.14899502844788873,0.10770162563506473,0.14100786679154406
1999-12-01,2,Stagflation,0.08774215370433229,0.2074894064818202,0.5643534492998774,0.14041499051397008
2000-01-01,2,Stagflation,0.01338776587633189,0.039231984378619286,0.8656980145521401,0.08168223519290863
2000-02-01,2,Stagflation,0.04769307610232968,0.3866538251547062,0.5233989054967079,0.04225419324625624
2000-03-01,1,Overheating,0.03268795061666321,0.7867959691405053,0.17100481465033326,0.009511265592498274
2000-04-01,2,Stagflation,0.2938265862460449,0.1944141795248641,0.3737328210856429,0.13802641314344813
2000-05-01,0,Goldilocks,0.6318627683198771,0.133032758819412,0.1024559242427874,0.1326485486179235
2000-06-01,2,Stagflation,0.0341115833202222,0.15538889310042328,0.7796101787067458,0.03088934487260876
2000-07-01,2,Stagflation,0.018801456369262053,0.022399034316291096,0.7389954844934842,0.21980402482096273
2000-08-01,3,Slowdown,0.07850160064561175,0.043029626088016734,0.25239387031115346,0.6260749029552181
2000-09-01,2,Stagflation,0.011543559168695,0.07137639865204502,0.9031856761447195,0.01389436603454055
2000-10-01,3,Slowdown,0.08513733846551706,0.05786152670050778,0.24731863679649074,0.6096824980374844
2000-11-01,3,Slowdown,0.03239252359905988,0.021307722029479725,0.2466479753292887,0.6996517790421717
2000-12-01,3,Slowdown,0.017314751429692587,0.01142142484882861,0.29505366163582414,0.6762101620856547
2001-01-01,2,Stagflation,0.0031788307479570666,0.007193768243179084,0.9769294793960226,0.012697921612841171
2001-02-01,3,Slowdown,0.017547812937862343,0.010858100508462733,0.2755276824270356,0.6960664041266393
2001-03-01,3,Slowdown,0.07530875229939922,0.03323773191185846,0.2100935040138175,0.6813600117749248
2001-04-01,2,Stagflation,0.11351395412970136,0.0871373005014507,0.4333048921464511,0.36604385322239685
2001-05-01,2,Stagflation,0.025604696655024156,0.03503175794609319,0.8007959962436583,0.13856754915522426
2001-06-01,3,Slowdown,0.017155315100209644,0.012607633312339278,0.35201651288676544,0.6182205387006856
2001-07-01,3,Slowdown,0.014745002518330599,0.008844497570579639,0.1699626224425464,0.8064478774685433
2001-08-01,3,Slowdown,0.01590144019877662,0.008910213443254014,0.12662959652564448,0.8485587498323249
2001-09-01,2,Stagflation,0.09070312009779959,0.12936265226541288,0.4111356382004279,0.36879858943635957
2001-10-01,2,Stagflation,0.010022865986143308,0.03259812712313355,0.864480401602151,0.09289860528857202
2001-11-01,3,Slowdown,0.08886892052704992,0.04333862600373824,0.12825889194267936,0.7395335615265325
2001-12-01,3,Slowdown,0.1597215041895197,0.0732862235328624,0.15482995737372265,0.6121623149038952
2002-01-01,3,Slowdown,0.3181280002986254,0.12234598188533498,0.22064485054731056,0.33888116726872897
2002-02-01,2,Stagflation,0.17016302698459634,0.15681672526604667,0.3642741030444767,0.3087461447048803
2002-03-01,2,Stagflation,0.057003178441328926,0.20153658490898382,0.5564929721952709,0.18496726445441633
2002-04-01,2,Stagflation,0.019602631990874794,0.28498034823276447,0.5814467591037685,0.11397026067259211
2002-05-01,3,Slowdown,0.08993935578730793,0.04942737583911365,0.16229329972074866,0.6983399686528299
2002-06-01,3,Slowdown,0.06384263203682405,0.049921838363057976,0.23605042659209588,0.650185103008022
2002-07-01,2,Stagflation,0.0376923645260272,0.06634922610644414,0.57491528446034,0.3210431249071887
2002-08-01,3,Slowdown,0.03467845847266848,0.049485524872836195,0.4504796535602426,0.46535636309425266
2002-09-01,3,Slowdown,0.02824718494546501,0.040459815887230084,0.3742152679584452,0.5570777312088598
2002-10-01,3,Slowdown,0.023534142403288303,0.03214293072894127,0.3802425431007517,0.5640803837670189
2002-11-01,3,Slowdown,0.02682314066546791,0.024091478991120446,0.14894112588685463,0.800144254456557
2002-12-01,3,Slowdown,0.0418943709202423,0.034083503798468744,0.15723802977577658,0.7667840955055123
2003-01-01,2,Stagflation,0.02889999813571936,0.12602514612520144,0.7053112690008562,0.13976358673822306
2003-02-01,2,Stagflation,0.02245927643829766,0.34125060381087347,0.5384484420266521,0.09784167772417665
2003-03-01,2,Stagflation,0.09414243641901349,0.3324251818120017,0.4068861175436275,0.1665462642253574
2003-04-01,3,Slowdown,0.2199940982330969,0.1291791928059405,0.19909148710345517,0.4517352218575074
2003-05-01,0,Goldilocks,0.4892329997032219,0.12505640390786077,0.15582815477230944,0.2298824416166078
2003-06-01,0,Goldilocks,0.5383155304578917,0.23117335250904925,0.1176079241811068,0.11290319285195224
2003-07-01,1,Overheating,0.17451689582588686,0.5598025225613077,0.13807493337855403,0.12760564823425158
2003-08-01,1,Overheating,0.09601639934719831,0.712272279562425,0.10619848595004755,0.08551283514032897
2003-09-01,1,Overheating,0.08565996586741405,0.7475708817526692,0.09802334127235368,0.06874581110756302
2003-10-01,0,Goldilocks,0.683525184238738,0.09153286564087898,0.09859698686631334,0.12634496325406983
2003-11-01,0,Goldilocks,0.397123221132756,0.19809950792361655,0.19131016182578622,0.21346710911784122
2003-12-01,2,Stagflation,0.11678960084857125,0.23781381602255383,0.41567370049260693,0.229722882636268
2004-01-01,2,Stagflation,0.024895263192804138,0.21302855726475622,0.6620366735526212,0.10003950598981841
2004-02-01,2,Stagflation,0.07975588957638707,0.1552765741104597,0.48543825668795554,0.2795292796251977
2004-03-01,3,Slowdown,0.15816925264033657,0.14772790544544973,0.3257155670469115,0.3683872748673022
2004-04-01,2,Stagflation,0.16172215336866053,0.21429676431000091,0.35061911192993583,0.2733619703914027
2004-05-01,1,Overheating,0.05806916066048452,0.48011720335247715,0.3494842772925272,0.11232935869451117
2004-06-01,1,Overheating,0.08792208960885475,0.49565929638856,0.2934560088188887,0.12296260518369667
2004-07-01,0,Goldilocks,0.47631148882428,0.1398440988571482,0.16529591850106903,0.21854849381750294
2004-08-01,0,Goldilocks,0.5603070740953977,0.09884053162091426,0.13864527732022772,0.20220711696346014
2004-09-01,1,Overheating,0.22969330620636844,0.3724793686713137,0.23236074829293524,0.16546657682938246
2004-10-01,1,Overheating,0.03169473296956872,0.7221285319874227,0.17729854163655687,0.06887819340645185
2004-11-01,1,Overheating,0.03583645907392035,0.7548705318761391,0.145292906745888,0.06400010230405277
2004-12-01,0,Goldilocks,0.6954835461984732,0.08132803252700103,0.09939102823282092,0.12379739304170492
2005-01-01,0,Goldilocks,0.5103786985928966,0.1962287281355474,0.15399321451510864,0.13939935875644735
2005-02-01,1,Overheating,0.0871296432251015,0.46010328932187455,0.3138622133345621,0.13890485411846198
2005-03-01,2,Stagflation,0.0489786627521926,0.23920504390670946,0.5595676830948993,0.15224861024619854
2005-04-01,2,Stagflation,0.022705069281765244,0.07441792111352905,0.7595678061686982,0.14330920343600745
2005-05-01,3,Slowdown,0.12233326703418736,0.05229515819117533,0.1642238844673214,0.661147690307316
2005-06-01,3,Slowdown,0.19422632993294656,0.07194828178216364,0.1867821137957486,0.5470432744891413
