,h_1,h_3,h_6
2021-03-01,1.3812004646065494,0.6307671671771833,0.3700879197888389
2021-04-01,1.5135165611357555,0.7269503024925374,0.3900179361406154
2021-05-01,1.1657539497047238,0.7408824827981704,0.5753345139475078
2021-06-01,1.0071955128701142,0.8236061019635758,0.5712728228255077
2021-07-01,0.6960239051427168,0.6262637196078839,0.6077388152900081
2021-08-01,1.2231746539212354,0.9578390020747294,0.45056111715561853
2021-09-01,1.5160981999089254,1.087489187736637,0.46075674338726225
2021-10-01,1.7429423550630831,1.1497715138281497,0.3266078926469599
2021-11-01,0.6178736627932829,0.4142694899330689,0.5795216872068202
2021-12-01,0.23076109352031682,0.5998686840618301,0.6858669833235581
2022-01-01,-0.055044991507737916,0.8176950529464894,0.9576212991454307
2022-02-01,0.3499190245665646,1.0324281398328194,0.702642148276586
2022-03-01,0.24923515774927954,0.5211646239278587,0.19721549493459722
2022-04-01,0.4014924827871196,0.39594932424595575,0.299700855476769
2022-05-01,0.715988949968085,0.3490202038742016,-0.15080127777649294
2022-06-01,0.7860887128028601,0.4269833263343014,-0.16873202557139888
2022-07-01,0.746934454698377,0.05136083612327702,-0.28712817320179296
2022-08-01,0.8814649075591889,0.16389328968382855,-0.2563185459380013
2022-09-01,0.380039000410312,0.049833594653413416,0.14136508849466134
2022-10-01,0.9160321015566604,0.5501411331249373,-0.12579677927881194
2022-11-01,0.8243040869665961,0.28552341472165654,-0.19253333371345294
2022-12-01,0.23799379925629172,-0.3901088041640173,-0.0067981365769953506
2023-01-01,0.5942862009315273,0.18639891180014345,0.051242061516186155
2023-02-01,0.6805273567680441,0.36202816899353296,0.08784106422074967
2023-03-01,0.38610089553121796,0.04013738670565292,0.15267691579771236
2023-04-01,0.5964023153870803,0.19777571258829152,0.048002010938214656
2023-05-01,0.8250588829550365,0.31207476076768703,0.007588864166802267
2023-06-01,0.6709706090690211,0.040777160374600996,0.05877657702378691
2023-07-01,1.065806114717216,0.3954770546214039,0.07338172488946437
2023-08-01,0.8138548290756216,0.04291039253123241,-0.021979912023490034
2023-09-01,0.37055577388150596,-0.3574244880496189,0.0323521153813795
2023-10-01,0.4948002129977378,-0.09332812639611898,0.06014408336516874
2023-11-01,0.3193728455913325,-0.14308943886782144,0.10438357849122681
2023-12-01,0.31379450323561686,0.14029070413192724,0.24245314424144748
2024-01-01,0.2071559382226167,0.33963299428666627,0.3397408899894456
2024-02-01,0.6047624091113386,0.6003669904186317,0.24656402540184885
2024-03-01,0.7029059962103896,0.4167128437175731,0.1800634270138466
2024-04-01,0.7918282317261078,0.26025789171080316,0.10116431235803836
2024-05-01,0.611970644633963,0.0750394144367097,0.15421864435705057
2024-06-01,0.6333418939264166,0.10259934926781877,0.14579423269825398
2024-07-01,0.665581786483656,0.24522448410270403,0.20415903578913142
2024-08-01,0.4524559992874351,0.12289487984058223,0.2259244481951277
2024-09-01,0.3148603809952837,0.18726444707504042,0.37436209264078757
2024-10-01,0.33140249902309016,0.4190267333244986,0.4612113819322623
2024-11-01,0.2924016390543742,0.5163802138463343,0.4748967312263517
2024-12-01,0.07102840758335782,0.2847010636740466,0.47212892057608213
2025-01-01,-0.09697636789098496,0.3629046028100067,0.5576283255536953
2025-02-01,0.6445373343314813,0.8248234494126336,0.3208584715157907
2025-03-01,0.7335973303547805,0.6090755665305103,0.30367438985549144
2025-04-01,1.0917793020942597,0.7488075724822569,0.2822701716511551
2025-05-01,0.8085638640483621,0.4621916252859699,0.33551934222237856
2025-06-01,0.8576439243266125,0.5148297265793476,0.35692284176374134
